island	sitename	depthname	quad	species	colony	depth	allfates	fate_prior	fate_t	year	asize	psize	yearNext	asizeNext	psizeNext	survIPM	fateIPM	fec1	fec2	fec3	offspringNext	spcover	allcover	fuseLGname	fuseLGsize	twoyear	
Ma	HonN	03m	5	PL	03c	03	I		I	1999	22.138677	27.846359	2000	0.441653	3.293715		fissSM		3	3.933884	clonal	361.183821	462.666768			0	
Ma	HonN	03m	5	PL	03	03	I		I	1999	22.138677	27.846359	2000	5.166281	13.683324	1	fissLG	1	3	3.933884		361.183821	462.666768			0	
Ma	HonN	03m	5	PL	04	03	S		S	1999	1.756673	6.168581	2000	2.677686	7.321385	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	05	03	D		D	1999	0.240756	2.268285	2000			0	dead					361.183821	462.666768			0	
Ma	HonN	03m	5	PL	06	03	S		S	1999	1.570359	4.923399	2000	1.994050	5.844025	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	07	03	S		S	1999	9.935123	16.779997	2000	3.941818	11.480205	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	08	03	S		S	1999	1.122722	4.633203	2000	0.781488	3.625399	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	09	03	S		S	1999	6.012854	10.852722	2000	7.063802	11.014030	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	10	03	S		S	1999	2.154707	6.709972	2000	0.915041	4.267467	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	11	03	S		S	1999	17.179584	28.132760	2000	6.277025	14.320223	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	12	03	S		S	1999	2.269641	6.219519	2000	3.644298	8.011537	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	13	03	S		S	1999	3.375425	8.948842	2000	3.834711	10.330874	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	14a	03	I		I	1999	22.311682	28.132760	2000	4.764298	9.861044		fissSM		2	8.45091	clonal	361.183821	462.666768			0	
