Site,Depth (m),Taxon,year,cover
Olowalu,7,Porites lobata,2007,16.36
Papaula Pt.,10,Montipora capitata,2007,8.64
Papaula Pt.,10,Montipora flabellata,2007,24.48
Papaula Pt.,10,Montipora patula,2007,1.16
Papaula Pt.,10,Pocillopora meandrina,2007,1.68
Papaula Pt.,10,Porites compressa,2007,0.32
Papaula Pt.,10,Porites lobata,2007,5.12
Puamana,3,Montipora capitata,2007,
Puamana,3,Montipora flabellata,2007,
Puamana,3,Montipora patula,2007,
Puamana,3,Pocillopora meandrina,2007,
Puamana,3,Porites compressa,2007,
Puamana,3,Porites lobata,2007,
Honolua North,3,Montipora capitata,2008,2.122222222
Honolua North,3,Montipora flabellata,2008,0.166666667
Honolua North,3,Montipora patula,2008,0.577777778
Honolua North,3,Pocillopora meandrina,2008,0.944444444
Honolua North,3,Porites compressa,2008,0
Honolua North,3,Porites lobata,2008,4.077777778
Honolua South,3,Montipora capitata,2008,1.444444444
Honolua South,3,Montipora flabellata,2008,0
Honolua South,3,Montipora patula,2008,1.186666667
Honolua South,3,Pocillopora meandrina,2008,1.573333333
Honolua South,3,Porites compressa,2008,0
Honolua South,3,Porites lobata,2008,3.097777778
Kahekili,3,Montipora capitata,2008,5.531515152
Kahekili,3,Montipora flabellata,2008,0.912727273
Kahekili,3,Montipora patula,2008,4.21030303
Kahekili,3,Pocillopora meandrina,2008,1.469090909
Kahekili,3,Porites compressa,2008,2.246060606
Kahekili,3,Porites lobata,2008,25.35272727
Kahekili,7,Montipora capitata,2008,
Kahekili,7,Montipora flabellata,2008,
Kahekili,7,Montipora patula,2008,
Kahekili,7,Pocillopora meandrina,2008,
Kahekili,7,Porites compressa,2008,
Kahekili,7,Porites lobata,2008,
Molokini,8,Montipora capitata,2008,22.70181818
Molokini,8,Montipora flabellata,2008,0.066666667
Molokini,8,Montipora patula,2008,20.69272727
Molokini,8,Pocillopora meandrina,2008,2.434545455
Molokini,8,Porites compressa,2008,2.496969697
Molokini,8,Porites lobata,2008,16.86666667
Molokini,13,Montipora capitata,2008,59.54909091
Molokini,13,Montipora flabellata,2008,0.2
Molokini,13,Montipora patula,2008,22.77454545
Molokini,13,Pocillopora meandrina,2008,1.723636364
Molokini,13,Porites compressa,2008,0.12
Molokini,13,Porites lobata,2008,1.072727273
Olowalu,3,Montipora capitata,2008,4.052727273
Olowalu,3,Montipora flabellata,2008,0.04
Olowalu,3,Montipora patula,2008,3.267878788
Olowalu,3,Pocillopora meandrina,2008,0.478787879
Olowalu,3,Porites compressa,2008,3.610909091
Olowalu,3,Porites lobata,2008,8.703030303
Olowalu,7,Montipora capitata,2008,23.15857032
Olowalu,7,Montipora flabellata,2008,0
Olowalu,7,Montipora patula,2008,17.05975136
